"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
a2a7ec2f-8854-44de-ad48-b7f2dfaddfb7,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,7c44cabd-e7a4-466b-911d-c50cd736e054,"#N/A","#N/A",EP-014
a4ee7625-6a51-4b75-a503-cc6e70cac8d7,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,9ffe019d-33a3-493d-89a1-80582afcbc3c,"#N/A","#N/A",EP-025
a8199846-bfb8-4c7c-80d7-6f34e0da3a3d,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,815878bd-821d-4ccf-b794-7022b06a69fe,"#N/A","#N/A","#N/A"
a81b02a5-4251-4783-bfdd-a1b22141fcf1,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,c4fa1348-e5bf-44f3-81f5-15d286cb14d9,"#N/A","#N/A","#N/A"
a9c6c2f0-0ee9-409f-8657-e770f0c55519,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,9f2a630d-e4a5-45fc-92d4-0fd97dce4449,"#N/A","#N/A",EP-015
aab58c2f-2c03-4eb1-9ac5-6db048a377ee,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,0b8f40c3-9755-4eea-8c42-59adb1fe7253,"#N/A","#N/A",Run-on-all-quotelines
ada363b8-fd44-435f-bb4b-d1a9311e01d0,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,5eabe791-2f06-4fb9-bd1a-202f66c5bf2a,"#N/A","#N/A",EP-013
ae846132-2ae7-4537-8da2-d020ecf6444c,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,e79d1707-9930-4520-a353-541359f27d49,"#N/A","#N/A","#N/A"
af601ece-1522-4c32-ae46-c0fbd9f2ee1a,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,cc795b5a-e71d-4c55-8b97-b6dd643eb3c0,"#N/A","#N/A","#N/A"
b01a99fe-bf19-47fa-ace5-30762023c194,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,4f18e937-f42f-4fd6-aa32-0ec0ba92a57f,"#N/A","#N/A","#N/A"
b083362e-60fe-46a7-a0af-8ca4bb70b604,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,824361e8-ff08-4414-bb05-b7fe11572363,"#N/A","#N/A",EP-014
b15a1a7f-3623-462a-b254-8dd700b92061,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,9f2a630d-e4a5-45fc-92d4-0fd97dce4449,"#N/A","#N/A",Quote
b3e1f374-467f-47b0-b367-11bac12e0201,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,939be57b-5992-4ace-90ed-0134bfce1bad,"#N/A","#N/A","#N/A"
b70f1af4-c236-4ed2-aa6e-6e2dffe62e54,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,19899349-fe05-4a84-840b-42e01c2215d1,"#N/A","#N/A",EP-013
ba3757f0-d82a-4c89-8b18-7ca6d85b74b1,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,247f164c-31f1-47fe-ae2e-4a3168d70391,"#N/A","#N/A","#N/A"
bca59814-415d-4e8f-97d3-c03d7cb0fad1,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,e583b22f-1dfa-4020-9452-3f5293dbce58,"#N/A","#N/A",EP-014
bcf0bbc1-1f54-4153-8724-5250599886c5,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,035acec9-96ab-44a4-ae67-7cf44c009758,"#N/A","#N/A",Quote
bd0fcf15-d3ba-425c-9061-17f5faf387b9,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,8517b4b5-a80b-4029-8817-0389b110cf8e,"#N/A","#N/A",Quote
bdb9135b-8c45-4445-a0bd-9e70d2c0417b,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,8d3347b5-c901-4501-9710-db3d7c84aba7,"#N/A","#N/A",WDCHIP
bee8c14a-3c8f-4917-9d39-6071d28b3a54,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,d63790ca-0008-41c4-b2ed-0e913ab40985,"#N/A","#N/A",EP-025
c72b85fa-43ab-4dbd-a469-96fb24f633f9,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,e583b22f-1dfa-4020-9452-3f5293dbce58,"#N/A","#N/A",EP-015
c9052a98-ab33-40b3-a299-b31987148e40,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,7c44cabd-e7a4-466b-911d-c50cd736e054,"#N/A","#N/A",EP-015
cac1557e-8591-4a37-8597-a73087b6cd98,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,d95f60ad-fd03-4ccf-a8a3-5ed650c28f7d,"#N/A","#N/A",EP-025
ce78353b-ed71-4e61-8488-ea453cd172ac,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,035acec9-96ab-44a4-ae67-7cf44c009758,"#N/A","#N/A",EP-014
ce9662e5-dafd-4cc1-8865-f665ed766669,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,8517b4b5-a80b-4029-8817-0389b110cf8e,"#N/A","#N/A",EP-025
d07176e1-6e6f-4a8c-9c10-85a29cfde759,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,f8a9be9c-eb49-464b-9edc-6bfad0851a21,"#N/A","#N/A",EP-025
d18cc790-5f9a-47c7-b2f8-a876f235f13e,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,3ae9dc0c-5ff4-491c-ba1b-3c4421c4d96f,"#N/A","#N/A","#N/A"
d2e4a3b8-f35b-4e33-9748-f18e3982db8b,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,7785d934-ec48-423b-9f63-509e92f93ffd,"#N/A","#N/A",Run-on-all-quotelines
da7497c6-e512-408a-8feb-d5562aba12bb,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,0dc3baf2-ca0c-4fe3-9941-2782e79b8be1,"#N/A","#N/A",Quote
dc0fe2d3-c8b4-4900-84d4-5b21548fe72e,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,9f2a630d-e4a5-45fc-92d4-0fd97dce4449,"#N/A","#N/A",EP-025
ddb7de19-c359-4892-81e9-5ee7f90dbfaf,Product Code,"#N/A",Value,"#N/A","#N/A",Quote,not equals,7de3f08f-5c96-4fce-aa21-b246e20c3bea,"#N/A","#N/A",123
e041de6a-fbcd-40b7-967c-5cf74e4c52c9,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,d63790ca-0008-41c4-b2ed-0e913ab40985,"#N/A","#N/A",Quote
e0588a8a-4e6f-4e98-9bf0-b5e0414fd83e,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,c97ff48d-60b5-4522-9355-4d14d0737171,"#N/A","#N/A",EP-025
e4990bb1-afb4-4925-a13a-9edd67bb113f,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,035acec9-96ab-44a4-ae67-7cf44c009758,"#N/A","#N/A",EP-025
e85c37b6-5163-4634-9dac-73bf8aa7da26,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,84822f0b-3ec2-4225-9b1d-a825e2ef9091,"#N/A","#N/A",EP-025
ed1400df-ec48-41ec-b288-5bea9dde9139,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,824361e8-ff08-4414-bb05-b7fe11572363,"#N/A","#N/A",Quote
ef628f86-6859-4de4-b733-8735922c9deb,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,865daabd-b880-4e01-857c-be6cd4abe320,"#N/A","#N/A",WDCHIP
ef655ef3-8a1e-4bcb-8a60-4e9590b89a53,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,336d1848-3105-42f8-8092-28c440df5643,"#N/A","#N/A",fdhfvu6578
fc9dc599-b941-4e73-a6df-3b1c09e2a300,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,b188fcf9-1d51-4329-8324-72645a96ae96,"#N/A","#N/A",fdhfvu6578
fdbc2a87-5896-4d2f-953e-608249d8757f,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,a15b1a9d-8176-480e-b010-bf141866a1ab,"#N/A","#N/A",EP-015
ffbae518-b39b-40cf-baf0-7e1b65e441bf,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,673c0e10-a382-4a46-a353-3e899ec214a9,"#N/A","#N/A","#N/A"
